Aerolinea;Horario;Precio;Escalas;Links
LATAM Airlines;12:59-14:44;326533.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.ca6efe4079bb811bda2d1a4bc0d0b0d4&h=1b0d5512a22b&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M8
LATAM Airlines;14:14-15:59;326533.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.07b940d69cba9e50fec07ddd5a72ed3a&h=788d48ac1008&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M9
LATAM Airlines;14:14-15:59;326533.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.fc962a9887413d55d38b6db4dfb913bd&h=666c4153ed4f&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M1
LATAM Airlines;12:59-14:44;326533.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.6304190a9a0213750e4bb2c7eefc54e4&h=39b222ed1451&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M15
LATAM Airlines;12:59-14:44;326533.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.8953.b8ac4c624aa8ef17f71bfaf9d541fef7&h=80af5066e91f&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M12
Viva Air Colombia, LATAM Airlines;14:35-16:23;337946.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.9325.e03d8bfdfbfa2118cf484303e85dd0ad&h=ef6609423654&sub=E-1192e147c96&pageOrigin=F..RP.MB.M7
Viva Air Colombia, LATAM Airlines;13:23-15:13;337946.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.9325.f8d70d3ecee9655d214843e7c52c0c12&h=5d80dd4dc57f&sub=E-1192e147c96&pageOrigin=F..RP.MB.M5
Viva Air Colombia, LATAM Airlines;13:23-15:13;337946.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.9325.c2dfa1b89e4f2c0305689d7f05854594&h=c0a8ffb2d46f&sub=E-1192e147c96&pageOrigin=F..RP.MB.M9
Viva Air Colombia, LATAM Airlines;14:35-16:23;337946.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.9325.70f7fad345531ee05ab7d4d3d0bebea0&h=160466b3d87b&sub=E-1192e147c96&pageOrigin=F..RP.MB.M4
Viva Air Colombia;6:15-10:51;341200.0;CTG;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.lPAzY077B9kUPBPf-jqMFw.11338.56c7268b8c3449193f8f1bd0627774cd&h=abfda5fee73a&sub=E-19e65b5a274&pageOrigin=F..RP.MB.M12
LATAM Airlines;11:09-12:54;353607.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.ZheJHZqHLmzKJvcpKN_waA.9027.333439a29d510b06f85b1d974bd7548e&h=a9bca9efeb04&sub=E-1494fdebee1&pageOrigin=F..RP.MB.M8
LATAM Airlines;11:09-12:54;353607.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.ZheJHZqHLmzKJvcpKN_waA.9027.b1e12e5f128d03eb73afd468722ab4b6&h=9870806daed6&sub=E-1494fdebee1&pageOrigin=F..RP.MB.M5
LATAM Airlines;11:09-12:54;353607.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.ZheJHZqHLmzKJvcpKN_waA.9027.e753e4a337edf18a2087ebb0760ba683&h=2d73dcb4605f&sub=E-1494fdebee1&pageOrigin=F..RP.MB.M12
LATAM Airlines;11:09-12:54;354218.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.-COZ-Slz34a7ImCnqdurig.9027.5d93aa77cc38760adbb6305291e85824&h=d8c8ec98630e&sub=E-17e8bc46728&pageOrigin=F..RP.MB.M2
LATAM Airlines;11:09-12:54;359958.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.9799.174768055cc59cc0b28af923d679113f&h=b87633272866&sub=E-1d905cc3948&pageOrigin=F..RP.MB.M3
Avianca, Viva Air Colombia;12:49-14:39;369600.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.lPAzY077B9kUPBPf-jqMFw.9929.46aaa74c44bf1a5d0bdbcf6c201782df&h=a108d8967b77&sub=E-1319fd9dfd4&pageOrigin=F..RP.MB.M6
Viva Air Colombia;5:08-6:56;385950.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.10231.b6303b19394f43ee5ea1cd5dd7a0b7cc&h=0314bff1c6e6&sub=E-1cf31d818ad&pageOrigin=F..RP.MB.M2
Viva Air Colombia;8:26-10:14;405950.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.qEot5fi9CI0Edn9PX-8xhQ.10740.9703d6d48bbcdce87f207865e071dcee&h=ffff5b748d50&sub=E-1cf31d818ad&pageOrigin=F..RP.MB.M7
Avianca, LATAM Airlines;12:49-14:39;406777.0;directo ;https://www.kayak.com.co/book/flight?code=QlBCNCC-Yq.18wgSzIaLAlgpzrTH2pViLaYAeeTFjgE.11700.6fc9033c687c19360c690540ea401a77&h=5f8b4e745133&sub=E-1abb256cb05&pageOrigin=F..RP.MB.M7
