horario,precio,aerolinea,paradas,enlace
14:36-19:10,406650.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.10289.b2670c8882be7152b7dcbcd22174d2e9&h=a9c102b60a10&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M62
8:58-13:37,399750.0,"Avianca, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.10115.7e142458cf5f4ed66465a91ef5192983&h=7c76b08641ee&sub=E-1a3855396f1&pageOrigin=F..RP.MB.M63
6:39-12:30,345178.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.8734.3b351141f040402dcc0ae06561467008&h=f5d73f2833f2&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M64
7:40-12:30,406650.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.10289.acda25fa004e950714bdaa22760b7d38&h=e5272f260b76&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M65
15:46-22:11,280728.0,LATAM Airlines,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.lPAzY077B9kUPBPf-jqMFw.7103.3b3132cf2720afb892dcfb43f367169f&h=06a26fa3d5a0&sub=E-1bbb0617601&pageOrigin=F..RP.MB.M66
6:39-12:30,320700.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.8115.c5a0330e38b58f37bcf8db21b3b14be0&h=9aba8e49bff8&sub=E-1f0f592800b&pageOrigin=F..RP.MB.M67
10:31-16:30,339997.0,"Viva Air Colombia, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.iPJIaPv5Rj5w1Q3KrTU5Gg.8603.2904d6eccdb4ada2ec89f318283d3b4f&h=bfae988c5d9e&sub=E-1bbf3989917&pageOrigin=F..RP.MB.M68
8:42-12:30,314950.0,"LATAM Airlines, Viva Air Colombia",BOG,https://www.kayak.com.cojavascript:void(0)
7:03-13:37,289500.0,"Avianca, LATAM Airlines",BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.qEot5fi9CI0Edn9PX-8xhQ.7325.982a8a25dffba7b2529b1af52c0e7a2d&h=04bd1f7cd7b0&sub=E-194f1486b22&pageOrigin=F..RP.MB.M70
13:52-18:35,471095.0,Viva Air Colombia,BOG,https://www.kayak.com.co/book/flight?code=SmBiI41qVz.xef_ezJm63M.11920.35ee3dc37b8ca8198f9cf1ae25750c7b&h=cfc78c30c10d&sub=E-1b9a68d5f67&pageOrigin=F..RP.MB.M71
