id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1471191705131044871,1471163784471453717,"2021-12-15 13:53:30 Hora est. Pacífico, Sudamérica",2021-12-15,13:53:30,-0500,299073108,carlosfrancoald,franc enrique,,"@ELTIEMPO Ahora la Abudinen,tras de ladrona bufona,ahora le quedan a deber.CINICA.....😖🤔",es,[],[],[],0,0,1,[],[],https://twitter.com/carlosfrancoald/status/1471191705131044871,False,,0,,,,,,,,"[{'screen_name': 'ELTIEMPO', 'name': 'EL TIEMPO', 'id': '9633802'}]",,,,
1471191539216957446,1471191539216957446,"2021-12-15 13:52:51 Hora est. Pacífico, Sudamérica",2021-12-15,13:52:51,-0500,1419779221145198592,adanmolaya,Adanmolaya,,"Ay! coma mierda Abudinen, dio papaya para que la jodieran. Se le dijo, se le advirtió, se le pidió, etc que no diera ese contrato a ese contratista y le valió gaver.",es,[],[],[],0,0,0,[],[],https://twitter.com/adanmolaya/status/1471191539216957446,False,https://twitter.com/RevistaSemana/status/1471146698319794186,0,,,,,,,,[],,,,
1471191477472612359,1471176989994323981,"2021-12-15 13:52:36 Hora est. Pacífico, Sudamérica",2021-12-15,13:52:36,-0500,541509101,lisset_pertuz,(Lisset) merdinin hasta adamı,,"@AlPuntoCol Muy bien Karen Abudinen, que KATHERlNE y su amigo el C0CALER0 respeten y paguen para que sean serio, a parte de eso que tambien junto con los de ALlANZA VERDE devuelvan el dinero, pero yaaaa, que no culpen mas a @karenabudi y que ellos con los de CENTR0S P0BLADOS respondan",es,"[{'screen_name': 'karenabudi', 'name': 'karen abudinen', 'id': '155428489'}]",[],[],0,0,0,[],[],https://twitter.com/Lisset_pertuz/status/1471191477472612359,False,,0,,,,,,,,"[{'screen_name': 'AlPuntoCol', 'name': 'Al Punto', 'id': '1439221506'}]",,,,
1471191415921254408,1471146698319794186,"2021-12-15 13:52:21 Hora est. Pacífico, Sudamérica",2021-12-15,13:52:21,-0500,2173169028,uribemonic,MonicaDelPilarUribe,,"@RevistaSemana Lo que faltaba, el ladrón enjuiciando al hurtado y a quien le denuncia. Pero en un país de gobernantes, funcionarios y medios corruptos, esto puede prosperar. Abudinen no tiene autoridad moral para reclamar nada, asi los uribistas y medios como Semana no la censuren.",es,[],[],[],0,0,0,[],[],https://twitter.com/uribemonic/status/1471191415921254408,False,,0,,,,,,,,"[{'screen_name': 'RevistaSemana', 'name': 'Revista Semana', 'id': '18079284'}]",,,,
1471191135171358727,1471191135171358727,"2021-12-15 13:51:14 Hora est. Pacífico, Sudamérica",2021-12-15,13:51:14,-0500,108045145,robertourrego,Roberto UZ,,"Si la Karen Abudinen es tendencia es porque ya la metieron presa, digo, ¿no?",es,[],[],[],0,0,0,[],[],https://twitter.com/robertourrego/status/1471191135171358727,False,,0,,,,,,,,[],,,,
1471191019949543431,1471191019949543431,"2021-12-15 13:50:47 Hora est. Pacífico, Sudamérica",2021-12-15,13:50:47,-0500,18079284,revistasemana,Revista Semana,,Fiscal Francisco Barbosa aclara la situación legal de la exministra Karen Abudinen  https://t.co/gYWjYlE5XX,ca,[],['https://www.semana.com/semana-tv/vicky-en-semana/articulo/fiscal-francisco-barbosa-aclara-la-situacion-legal-de-la-exministra-karen-abudinen/202159/?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Twitter#Echobox=1639594233'],[],2,0,4,[],[],https://twitter.com/RevistaSemana/status/1471191019949543431,False,,0,,,,,,,,[],,,,
1471190819264778270,1471183645272690693,"2021-12-15 13:49:59 Hora est. Pacífico, Sudamérica",2021-12-15,13:49:59,-0500,1454892342926737416,r3ramir35,R R,,@FelicianoValen @karenabudi @clorduy Karen Abudinen @karenabudi .... No es que lo digan es que difaman y generan odios hay familias y niños de por medio que tienen su apellido y aún así lo tildan .. dejé usted de defender a lo indefendible que usted es igual de cínico como lo es el partido Verde,es,"[{'screen_name': 'karenabudi', 'name': 'karen abudinen', 'id': '155428489'}]",[],[],0,0,0,[],[],https://twitter.com/R3Ramir35/status/1471190819264778270,False,,0,,,,,,,,"[{'screen_name': 'FelicianoValen', 'name': 'Feliciano Valencia 🌽', 'id': '1466003185'}, {'screen_name': 'karenabudi', 'name': 'Karen Abudinen', 'id': '155428489'}, {'screen_name': 'clorduy', 'name': 'Cesar Lorduy', 'id': '150444438'}]",,,,
1471190308364894218,1471151365644820485,"2021-12-15 13:47:57 Hora est. Pacífico, Sudamérica",2021-12-15,13:47:57,-0500,1107371532056227840,monin49033267,jesus,,"@CABLENOTICIAS Es no tener nada q hacer la corte cualquiera puede usar una palabra y darle uso, y abudinen hay muchos, por q no mejor no nvestogan la razón x ministra q presuntamente se robó, o dejo rico bar 70.000 millones del erario público, ósea, en este país es mas delito abudinear q robar?",es,[],[],[],0,0,0,[],[],https://twitter.com/monin49033267/status/1471190308364894218,False,,0,,,,,,,,"[{'screen_name': 'CABLENOTICIAS', 'name': 'CABLENOTICIAS', 'id': '50651755'}]",,,,
1471190111622684677,1471178185610043396,"2021-12-15 13:47:10 Hora est. Pacífico, Sudamérica",2021-12-15,13:47:10,-0500,1454892342926737416,r3ramir35,R R,,@RedMasNoticias @MirandaBogota @CorteSupremaJ Que lo acepte y se presente en la corte por miserable canalla y sinvergüenza que mancharon el buen nombre de Karen Abudinen @karenabudi,es,"[{'screen_name': 'karenabudi', 'name': 'karen abudinen', 'id': '155428489'}]",[],[],0,0,0,[],[],https://twitter.com/R3Ramir35/status/1471190111622684677,False,,0,,,,,,,,"[{'screen_name': 'RedMasNoticias', 'name': 'red+ noticias', 'id': '1601822730'}, {'screen_name': 'MirandaBogota', 'name': 'Katherine Miranda 🌻 101', 'id': '70539007'}, {'screen_name': 'CorteSupremaJ', 'name': 'Corte Suprema de Justicia', 'id': '208901797'}]",,,,
1471189827089481739,1471163714753683457,"2021-12-15 13:46:02 Hora est. Pacífico, Sudamérica",2021-12-15,13:46:02,-0500,749592040493711360,gerardobogota,Gerardo Bogota,,@MirandaBogota @karenabudi Las ratas inquietas cuando les echan Racumin… eso es la Abudinen y sus secuaces,es,[],[],[],0,0,0,[],[],https://twitter.com/GerardoBogota/status/1471189827089481739,False,,0,,,,,,,,"[{'screen_name': 'MirandaBogota', 'name': 'Katherine Miranda 🌻 101', 'id': '70539007'}, {'screen_name': 'karenabudi', 'name': 'Karen Abudinen', 'id': '155428489'}]",,,,
