Created at;Description;Followers Count;Friends Count;Location;Profile Image Url;Statuses Count;Text;User ID;User Name
Sat Nov 13 01:54:09 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Ahí ganó Argentina y le salvó el culo, parcialmente, a la @FCFSeleccionCol, pero hay que dejar de depender de otros… https://t.co/X9M0rufHyf;1.4593387640991416e+18;Janick Alberto
Fri Nov 12 03:03:33 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;@Kensy_Word Sí, pero que disimulen un poco. Apenas en estas eliminatorias se ve lo que hizo Neymar hoy.;1.4589938429973176e+18;Janick Alberto
Fri Nov 12 02:46:29 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;@Kensy_Word No es raro ya el arbitraje en contra manito. Fijate que los jugadores ya ni se preocupan por reclamar mucho.;1.458989548944384e+18;Janick Alberto
Thu Nov 11 18:44:44 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Dios mío ❤💙❤ https://t.co/oOLPCdRvdC;1.4588683097142518e+18;Janick Alberto
Thu Nov 11 16:06:02 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;"RT @petrogustavo: Fenalco pide bajar los aranceles a cero. Esto acabaría lo que queda de agricultura e  industria en Colombia.

Millones de…";1.4588283734682747e+18;Janick Alberto
Thu Nov 11 15:14:22 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @Politicaymas__: https://t.co/AWT3NsW1jI;1.458815372388356e+18;Janick Alberto
Thu Nov 11 02:56:55 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;Bastante rato tenía sin ver un partido de Nacional, pero qué buen juego el de hoy.;1.4586297869773824e+18;Janick Alberto
Wed Nov 10 15:24:26 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @DanGamboaB: Colombia en menos de cuatro años se ha vuelto un país incómodo: manipuló las elecciones de EEUU, apoyó el asesinato del pre…;1.4584555160914043e+18;Janick Alberto
Fri Nov 05 13:45:40 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;RT @fdbedout: El partido conservador no busca candidatos para ganar la presidencia, busca una persona para negociar acuerdos burocráticos c…;1.4566187222910648e+18;Janick Alberto
Thu Nov 04 14:43:13 +0000 2021;"Petroleum Engineer  | Data Analyst              

Chocó ♡";186.0;167.0;Quibdó - Colombia !! ;http://pbs.twimg.com/profile_images/1291039352458555392/eFda15FR_normal.jpg;27601.0;@akaeloriginal Un patán 🤦🏾‍♂️;1.4562708183678484e+18;Janick Alberto
