Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Thu Dec 16 22:06:07 +0000 2021;2578.0;3267.0;https://t.co/uLtgXAMRoi;;1471602567176204295;Si el sueldo de mas de un millon de pesos en Colombia implantado por Ivan Duque este año no alcanza, entonces eso será por lo de siempre, es decir, porque en Colombia gastamos de mas, pretendemos demasiado y practicamos el arribismo mezclado con la ingratitud y con el descontrol;libertad_mata;1.4579277198497997e+18;LA LIBERTAD LO ES TODO;0.0;;[]
Thu Dec 16 22:06:06 +0000 2021;8645.0;840.0;;Montevideo, Uruguay;1471602562063376395;;duque_igthorn;2813587147.0;Duque Igthorn 🤘🇳🇱 🇺🇾;0.0;;[{'url': 'https://t.co/NfGQwgkvoM', 'expanded_url': 'https://twitter.com/i/web/status/1471602562063376395', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]
Thu Dec 16 22:06:04 +0000 2021;1405.0;774.0;;Colombia;1471602553766957064;@RevistaSemana Uribe eres el mejor con errores y todo pero eres el mejor presidente q e visto des d la presidencia d Belisario betancur asta la fecha y le sigue los pasos duque q es buen presidente;acafelar;374155301.0;Sagitario;0.0;;[]
Thu Dec 16 22:05:59 +0000 2021;86072.0;963.0;;;1471602531600056327;Presidente Duque está terminado el año redondo, en un mismo día le tapó la boca a Claudia López y peino a Petro, aumentó el 10% al salario mínimo, fue salvador de Hidroituango humillando a Quintero en su cara.  Brutal 👏🏻;AngelaC64939911;1.1059504331625103e+18;Angela Cordoba 🇨🇴;0.0;;[]
Thu Dec 16 22:05:59 +0000 2021;7138.0;217.0;;;1471602531323330560;Presidente Duque está terminado el año redondo, en un mismo día le tapó la boca a Claudia López y peino a Petro, aumentó el 10% al salario mínimo, fue salvador de Hidroituango humillando a Quintero en su cara.  Brutal 👏🏻;HectorAnselmoL2;1.1734443574977905e+18;Hector Anselmo Luna Pena;0.0;;[]
Thu Dec 16 22:05:58 +0000 2021;10843.0;281.0;;Medellín/Antioquia;1471602529612013568;Es inaudito que uno de las pocas cosas que había funcionado bien durante décadas, la expedición de pasaportes, bajo el inepto Duque hayan logrado dañarla. Hay que ser muy incompetente e irresponsable para destruir lo que durante tanto tiempo se había hecho de manera eficiente.;Leonard88574597;1.0199123266471076e+18;Leonardo;0.0;;[]
Thu Dec 16 22:05:57 +0000 2021;3316.0;391.0;;Bogotá;1471602522762711046;;aqc_sergio;1.0863074778289193e+18;Sergio Alejandro Quiroga Campos;0.0;;[{'url': 'https://t.co/O0l7BRKFAK', 'expanded_url': 'https://twitter.com/i/web/status/1471602522762711046', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]
Thu Dec 16 22:05:55 +0000 2021;28549.0;211.0;;;1471602516743892996;Si la justicia está embargado los bienes que tenía el Ñeñe Hernández, debe embargar parte de la presidencia que Duque compró con la plata del narcotraficante.;jhonf809;1917228152.0;jhon castillo;0.0;;[]
Thu Dec 16 22:05:49 +0000 2021;75128.0;45.0;;;1471602492630835206;"Álvaro Uribe denuncia a Juan Manuel Santos, por comunicarse con un Magistrado para que el patrón se mantuviera  como imputado.
Señor imputado, porqué no hace publico que César Gaviria e Iván Duque, también se comunicaron con Magistrados,  para que votarán a su favor?";Delki94886796;1.3660568223528632e+18;Delki;0.0;;[]
Thu Dec 16 22:05:47 +0000 2021;11288.0;41.0;;;1471602480433836035;Estos son lo/as congresistas que votaron SÍ para archivar la #Ñeñepolítica. Como siempre no podía faltar en lo turbio la representación del departamento del Magdalena. Duque sabotea al gobierno del cambio @Carlosecaicedo, a cambio estos venales le pagan con impunidad. https://t.co/7IHK4Egf3H;CarlosG15098590;1.0957609711995863e+18;Carlos Gomez;0.0;;[]
Thu Dec 16 22:05:40 +0000 2021;5484.0;741.0;;Venezuela;1471602451555958791;Un informe devastador que acusa a Duque y su gobierno de homicida, violador sexual y racista. Es estruendoso el silencio de la canalla internacional. Desde luego, ese gobierno insistirá en el manido guión de culpar a Venezuela de planificar esa barbarie. https://t.co/8Xw9lHcDtg;gonzalobonilla;119463168.0;Gonzalo Bonilla;0.0;;[]
Thu Dec 16 22:05:38 +0000 2021;58846.0;520.0;;;1471602443179995139;"""Petro nos pondrá a aguantar hambre""

Julio de 48 años, recoge reciclaje, come dos veces al día y votó por Ivan Duque en el 2018.";manysam10;311645429.0;ar;0.0;;[]
