Created at;Favorites;Friends Count;Internal Links;Location;Status ID;Text;User;User ID;User Name;Verified account;Zone;urls
Wed May 04 02:01:05 +0000 2022;44919.0;998.0;;Puerto Colombia, Colombia;1521671224929271808;Ya salió Iván Duque a decir, que si Petro tiene miedo que renuncie a su candidatura ?;Peraltaurang0;7.761398702971412e+17;Alvaro peralta;0.0;;[]
Wed May 04 02:01:04 +0000 2022;26396.0;3929.0;;Cali, Valle del Cauca;1521671220663570432;"Declaraciones del presidente Iván Duque, tras lo dicho por Aida Merlano, quien hizo señalamientos contra su campaña presidencial.

🎥: Presidencia de Colombia https://t.co/2j4FtLUY3I";_Nicotv_;184584002.0;Nicolás  Jiménez;0.0;;[]
Wed May 04 02:01:02 +0000 2022;34630.0;1786.0;;España;1521671209263501312;4 años tuvo Iván Duque para haberle subido los ingresos a los policías, pero lo hace justo a 3 meses de terminar su mandato y en plena campaña presidencial con miembros de la fuerza pública participando en política. Este tipo de acciones siguen alimentando un Golpe de Estado;WladimirCossio;707932584.0;wladi;0.0;;[]
Wed May 04 02:01:01 +0000 2022;4174.0;495.0;;;1521671208172986368;#Atención La excongresista Aída Merlano le dijo a la Corte que 6 mil millones de los Gerleín llegaron a la campaña de Iván Duque. Dice que se usaron 18 mil millones para corrupción electoral. https://t.co/S5TWMqP5jJ;rubenda72287689;1.41799971302298e+18;rubens;0.0;;[]
Wed May 04 02:01:00 +0000 2022;116766.0;5001.0;;Santo Tomás, Colombia;1521671203940880384;Iván Duque denunciará a Gerlein porque a su campaña sólo le llegaron 3000 millones.;OyagaLeo;2290564230.0;Leovigildo Oyaga;0.0;;[]
Wed May 04 02:00:58 +0000 2022;17531.0;635.0;;Colombia;1521671194495303682;"#NoticiaW | La excongresista Aída Merlano declaró que parte del dinero que se recibió a modo de “coimas” para su campaña, se habría usado en la campaña presidencial del actual mandatario Iván Duque Márquez.

https://t.co/tMYQBq3ruT";ALoQueTeTruje_;179824457.0;ALoQueTeTruje_;0.0;;[]
Wed May 04 02:00:55 +0000 2022;33446.0;295.0;;SALT LAKE CITY, UT. USA.;1521671179425107970;Aída Merlano aseguró que $6 mil millones de Julio Gerlein entraron a la campaña de Duque. https://t.co/AjK61zn1WQ;famope3;143672179.0;Fabio Molano 🇺🇸🇨🇴;0.0;;[{'url': 'https://t.co/AjK61zn1WQ', 'expanded_url': 'https://m.elcolombiano.com/colombia/aida-merlano-asegura-que-seis-mil-millones-de-pesos-de-julio-gerlein-entraron-a-campana-de-ivan-duque-BD17369109', 'display_url': 'm.elcolombiano.com/colombia/aida-…', 'indices': [108, 131]}]
Wed May 04 02:00:50 +0000 2022;29804.0;936.0;;;1521671160152342528;Yo no sabía que Cambio Radical de Alex Char, y el partido conservador Roberto Gerlein apoyaron a Gustavo Petro en las elecciones del 2.018. Hasta ahora me entero por Ivan Duque. Dijo que Aida estaba apoyando a otro candidato a la presidencia.y que no recibió $$$$.;quinonesporras1;1.4342187247399813e+18;Omar Quiñones Porras;0.0;;[]
Wed May 04 02:00:49 +0000 2022;53892.0;1025.0;;🇦🇷🇨🇱;1521671155303735297;El silencio de Federico Gutiérrez y de su jefe de campaña, Iván Duque, sobre el plan para atentar contra @petrogustavo, revela su estatura moral.;_Rosemberg_;1.2259530069376573e+18;𝑹𝒐𝒔𝒆𝒎𝒃𝒆𝒓𝒈;0.0;;[]
Wed May 04 02:00:47 +0000 2022;11819.0;1088.0;;Curramba;1521671147674378241;Aida Merlano da explosivas declaraciones sobre millonaria financiación de la campaña de Iván Duque https://t.co/rf15E2Nufh a través de @rcnradio;omarmachadoye;152873609.0;omar machado yepez;0.0;;[{'url': 'https://t.co/rf15E2Nufh', 'expanded_url': 'https://www.rcnradio.com/judicial/aida-merlano-dice-que-campana-de-ivan-duque-recibio-6000-millones-de-los-gerlein-y-los', 'display_url': 'rcnradio.com/judicial/aida-…', 'indices': [115, 138]}]
